panel,row_type,pair,rna_metric,rna_metric_label,spearman_rho,abs_rho,n_rows,n_participants,source_table
C,abundance-matched control,CD27/CD123,mhcii_cd74_axis,MHC-II/CD74,-0.03414634146341464,0.03414634146341464,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD123,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,-0.02514071294559099,0.02514071294559099,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD141/CX3CR1,hla_dr_core,HLA-DR core,0.15010084917305472,0.15010084917305472,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD141/CX3CR1,mhcii_cd74_axis,MHC-II/CD74,0.14428444126759885,0.14428444126759885,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD141/CX3CR1,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,-0.2175524182701962,0.2175524182701962,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD20/PD1,hla_dr_core,HLA-DR core,-0.35046904315196997,0.35046904315196997,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD20/PD1,mhcii_cd74_axis,MHC-II/CD74,-0.4268292682926829,0.4268292682926829,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD20/PD1,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.3302063789868668,0.3302063789868668,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD28,hla_dr_core,HLA-DR core,-0.33095684803001874,0.33095684803001874,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD28,mhcii_cd74_axis,MHC-II/CD74,-0.3076923076923077,0.3076923076923077,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD28,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.275609756097561,0.275609756097561,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD161/CD103,hla_dr_core,HLA-DR core,-0.29624765478424014,0.29624765478424014,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD161/CD103,mhcii_cd74_axis,MHC-II/CD74,-0.34127579737335834,0.34127579737335834,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD161/CD103,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.375046904315197,0.375046904315197,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD20/CD161,hla_dr_core,HLA-DR core,-0.3266416510318949,0.3266416510318949,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD20/CD161,mhcii_cd74_axis,MHC-II/CD74,-0.41632270168855534,0.41632270168855534,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD20/CD161,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.40375234521575987,0.40375234521575987,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,CD3/CD14 prespecified signal,CD3/CD14,hla_dr_core,HLA-DR core,-0.30656660412757974,0.30656660412757974,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_specificity_decision_summary.csv
C,CD3/CD14 prespecified signal,CD3/CD14,mhcii_cd74_axis,MHC-II/CD74,-0.30150093808630396,0.30150093808630396,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_specificity_decision_summary.csv
C,CD3/CD14 prespecified signal,CD3/CD14,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.3028142589118199,0.3028142589118199,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_specificity_decision_summary.csv
