analysis_scope,pair,rna_metric,flow_metric,n_rows,n_participants,spearman_rho,permutation_p_two_sided,bh_fdr_within_all_pair_metric_family,permutation_null_median,permutation_null_q025,permutation_null_q975,n_permutations,claim_boundary,panel,rna_metric_label,abs_rho,source_table
Sepsis-only matched raw FCS all-pair marker null,CD8/CD103,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.3532833020637899,0.02359528094381123,0.08176910072530948,-0.02711069418386491,-0.2857223264540337,0.30666041275797373,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.3532833020637899,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD11c,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.5103189493433395,7.998400319936e-4,0.01799640071985602,-0.00703564727954971,-0.297593808630394,0.32478424015009383,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.5103189493433395,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD123,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.1647279549718574,0.30093981203759246,0.4720134811212031,0.0273921200750469,-0.27833489681050655,0.28602251407129464,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.1647279549718574,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD141,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.3525328330206379,0.02459508098380324,0.0835411864995422,0.00534709193245778,-0.2855393996247655,0.30661350844277696,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.3525328330206379,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD161,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.17936210131332084,0.26354729054189163,0.4408003355081197,-0.00272045028142589,-0.2816416510318949,0.26415572232645407,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.17936210131332084,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD20,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.35159474671669794,0.02479504099180163,0.0835411864995422,-0.02701688555347092,-0.2375093808630394,0.2879878048780488,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.35159474671669794,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD25,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.0174484052532833,0.91001799640072,0.9555188962207558,0.01106941838649155,-0.3327439024390244,0.2676547842401501,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.0174484052532833,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD27,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.09343339587242026,0.5610877824435113,0.7148752067768264,0.02045028142589118,-0.3412711069418386,0.3529878048780488,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.09343339587242026,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD28,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,0.11969981238273922,0.45670865826834633,0.6209923482929314,0.01510318949343339,-0.38058630393996246,0.3184052532833021,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.11969981238273922,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD8/CD33,mhcii_cd74_axis,raw_fcs_abundance_normalized,40,34,-0.4675422138836773,0.002999400119976,0.02636681965932395,-0.0197936210131332,-0.30900562851782365,0.3609615384615385,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,MHC-II/CD74,0.4675422138836773,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
