analysis_scope,adjustment,rna_metric,flow_metric,n_rows,n_participants,spearman_rho,p_value,covariates,claim_boundary,bh_fdr_within_adjustment
Sepsis-only,unadjusted,hla_dr_core,cd3_cd14_abundance_normalized,40,34,-0.5590994371482176,0.0001767759461158,,paired association; no causal or predictive claim,0.0005303278383476
Sepsis-only,lineage_fraction_rank_residual,hla_dr_core,cd3_cd14_abundance_normalized,40,34,-0.4073170731707317,0.0090909451524202,cd3_pos_fraction;cd14_pos_fraction;double_event_cd4_pos_fraction;double_event_cd8_pos_fraction;double_event_cd19_pos_fraction;double_event_cd56_pos_fraction,"lineage/QC residual sensitivity; no causal, clinical, or physical-interaction claim",0.0272728354572606
Sepsis-only,lineage_plus_qc_rank_residual,hla_dr_core,cd3_cd14_abundance_normalized,40,34,-0.2570356472795497,0.1093505688016891,cd3_pos_fraction;cd14_pos_fraction;double_event_cd4_pos_fraction;double_event_cd8_pos_fraction;double_event_cd19_pos_fraction;double_event_cd56_pos_fraction;events_after_filter;events_retained_fraction;event_length_cutoff;iridium_sum_cutoff,"lineage/QC residual sensitivity; no causal, clinical, or physical-interaction claim",0.3280517064050673
Sepsis-only,unadjusted,mhcii_cd74_axis,cd3_cd14_abundance_normalized,40,34,-0.5165103189493434,0.0006448636697271,,paired association; no causal or predictive claim,0.0009672955045907
Sepsis-only,lineage_fraction_rank_residual,mhcii_cd74_axis,cd3_cd14_abundance_normalized,40,34,-0.3358348968105066,0.034122689146155,cd3_pos_fraction;cd14_pos_fraction;double_event_cd4_pos_fraction;double_event_cd8_pos_fraction;double_event_cd19_pos_fraction;double_event_cd56_pos_fraction,"lineage/QC residual sensitivity; no causal, clinical, or physical-interaction claim",0.0511840337192325
Sepsis-only,lineage_plus_qc_rank_residual,mhcii_cd74_axis,cd3_cd14_abundance_normalized,40,34,-0.1643527204502814,0.3108648473804299,cd3_pos_fraction;cd14_pos_fraction;double_event_cd4_pos_fraction;double_event_cd8_pos_fraction;double_event_cd19_pos_fraction;double_event_cd56_pos_fraction;events_after_filter;events_retained_fraction;event_length_cutoff;iridium_sum_cutoff,"lineage/QC residual sensitivity; no causal, clinical, or physical-interaction claim",0.4612105441838195
Sepsis-only,unadjusted,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,40,34,0.4622889305816136,0.0026713386033495,,paired association; no causal or predictive claim,0.0026713386033495
Sepsis-only,lineage_fraction_rank_residual,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,40,34,0.1924953095684803,0.2340422018616476,cd3_pos_fraction;cd14_pos_fraction;double_event_cd4_pos_fraction;double_event_cd8_pos_fraction;double_event_cd19_pos_fraction;double_event_cd56_pos_fraction,"lineage/QC residual sensitivity; no causal, clinical, or physical-interaction claim",0.2340422018616476
Sepsis-only,lineage_plus_qc_rank_residual,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,40,34,0.1198874296435272,0.4612105441838195,cd3_pos_fraction;cd14_pos_fraction;double_event_cd4_pos_fraction;double_event_cd8_pos_fraction;double_event_cd19_pos_fraction;double_event_cd56_pos_fraction;events_after_filter;events_retained_fraction;event_length_cutoff;iridium_sum_cutoff,"lineage/QC residual sensitivity; no causal, clinical, or physical-interaction claim",0.4612105441838195
