reference_number,category,authors,title,journal,year,doi,pmid,pubmed_url,verification_status
20,CyTOF,"Spitzer MH, Nolan GP","Mass cytometry: single cells, many features.",Cell,2016,10.1016/j.cell.2016.04.019,27153492.0,https://pubmed.ncbi.nlm.nih.gov/27153492/,PubMed_or_DOI_checked
21,CyTOF,"Bendall SC, Simonds EF, Qiu P, Amir el-AD, Krutzik PO, Finck R, et al.",Single-cell mass cytometry of differential immune and drug responses across a human hematopoietic continuum.,Science,2011,10.1126/science.1198704,21551058.0,https://pubmed.ncbi.nlm.nih.gov/21551058/,PubMed_or_DOI_checked
22,CyTOF QC,"Finck R, Simonds EF, Jager A, Krishnaswamy S, Sachs K, Fantl W, et al.",Normalization of mass cytometry data with bead standards.,Cytometry Part A,2013,10.1002/cyto.a.22271,23512433.0,https://pubmed.ncbi.nlm.nih.gov/23512433/,PubMed_or_DOI_checked
23,cytometry reporting,"Lee JA, Spidlen J, Boyce K, Cai J, Crosbie N, Dalphin M, et al.",MIFlowCyt: the minimum information about a Flow Cytometry Experiment.,Cytometry Part A,2008,10.1002/cyto.a.20623,18752282.0,https://pubmed.ncbi.nlm.nih.gov/18752282/,PubMed_or_DOI_checked
24,cytometry repository,"Spidlen J, Breuer K, Brinkman R",Preparing a MIFlowCyt compliant manuscript using FlowRepository.org.,Current Protocols in Cytometry,2012,10.1002/0471142956.cy1018s61,22752950.0,https://pubmed.ncbi.nlm.nih.gov/22752950/,PubMed_or_DOI_checked
25,cytometry bioinformatics,"O'Neill K, Aghaeepour N, Spidlen J, Brinkman R",Flow cytometry bioinformatics.,PLoS Computational Biology,2013,10.1371/journal.pcbi.1003365,24363631.0,https://pubmed.ncbi.nlm.nih.gov/24363631/,PubMed_or_DOI_checked
26,cytometry reporting,"Lucas F, Gil-Pulido J, LaMacchia J, Preffer F, Wallace PK, Lopez P",MiSet RFC Standards: Defining a universal minimum set of standards required for reproducibility and rigor in research flow cytometry experiments.,Cytometry Part A,2020,10.1002/cyto.a.23940,31769204.0,https://pubmed.ncbi.nlm.nih.gov/31769204/,PubMed_or_DOI_checked
27,systems immunology,"Davis MM, Tato CM, Furman D",Systems immunology: just getting started.,Nature Immunology,2017,10.1038/ni.3768,28632713.0,https://pubmed.ncbi.nlm.nih.gov/28632713/,PubMed_or_DOI_checked
28,data stewardship,"Wilkinson MD, Dumontier M, Aalbersberg IJ, Appleton G, Axton M, Baak A, et al.",The FAIR Guiding Principles for scientific data management and stewardship.,Scientific Data,2016,10.1038/sdata.2016.18,26978244.0,https://pubmed.ncbi.nlm.nih.gov/26978244/,PubMed_or_DOI_checked
29,reproducibility,Markowetz F,Five selfish reasons to work reproducibly.,Genome Biology,2015,10.1186/s13059-015-0850-7,26646147.0,https://pubmed.ncbi.nlm.nih.gov/26646147/,PubMed_or_DOI_checked
