analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
all_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd33_pos_fraction,128,0.14691115651164038,0.09780190745663797,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.188250288036837,exploratory
all_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd11c_pos_fraction,128,0.07086386044624199,0.4245252009969019,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.554481895179627,exploratory
all_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd16_pos_fraction,128,-0.06760789265806816,0.44611834332350847,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.5571038823942349,exploratory
all_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd38_pos_fraction,128,0.16185761741268131,0.0681456152289844,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1465989705766387,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_double_fraction,129,-0.5478700805008945,5.702467201433427e-10,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,7.299158017834786e-08,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_abundance_normalized,129,0.4116838103756709,3.1980733953427545e-06,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,3.721394496398842e-05,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_hmean_enrichment_exclusive,129,-0.19882043828264762,0.024487282209880227,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0695287146220959,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,double_event_hla_dr_pos_fraction,128,0.16588435749724154,0.06156415836172884,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.13704716991828333,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd33_pos_fraction,128,0.24259453950661256,0.006258874264001267,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.028788842087079238,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd11c_pos_fraction,128,0.10083366755180276,0.255815248766375,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.376371860253977,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd16_pos_fraction,128,0.0842915773592487,0.34215400417498215,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.4659118354723161,exploratory
all_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd38_pos_fraction,128,0.2497453365165689,0.004885515275639999,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.02359796057667622,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_double_fraction,129,0.5503466010733454,4.770888582419541e-10,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,7.299158017834786e-08,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_abundance_normalized,129,-0.39982110912343477,6.083697065710982e-06,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,6.229705795288045e-05,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_hmean_enrichment_exclusive,129,0.21278510733452596,0.016067059816666014,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.05583347048202184,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_hla_dr_pos_fraction,128,-0.16810608698934146,0.05816406003867079,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1306140295605239,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd33_pos_fraction,128,-0.23274646890120496,0.008717986932460035,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.03658696155261916,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd11c_pos_fraction,128,-0.12453928188201414,0.16047183597231834,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.27372611397424884,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd16_pos_fraction,128,-0.07866881814927935,0.3753198467587735,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.5004264623450313,exploratory
all_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd38_pos_fraction,128,-0.22736923482708815,0.010397512547897165,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.04111645024256458,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_double_fraction,129,-0.49295617173524164,2.444735756786961e-08,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,6.25852353737462e-07,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,129,0.4209805456171736,1.908766162436941e-06,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,2.3268768456374134e-05,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_hmean_enrichment_exclusive,129,-0.14797629695885514,0.09409902313651256,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.18249507517384253,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_hla_dr_pos_fraction,128,0.17314869624947535,0.051022949297917244,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.11874431836606195,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd33_pos_fraction,128,0.2749619223362841,0.00194395677407913,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.01105895409253905,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd11c_pos_fraction,128,0.07009916320978356,0.42954093811226074,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.5571038823942349,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd16_pos_fraction,128,0.028846307671781268,0.7451194825295762,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.8044817962907327,exploratory
all_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd38_pos_fraction,128,0.2467294271584215,0.005427535443538875,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.02573053839899911,exploratory
