analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
all_group_residualized,spearman_rank_residualized_on_analysis_group,hla_dr_core,double_event_cd16_pos_fraction,128,0.0150669346293814,0.8678266462671983,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.8922233792947902,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,hla_dr_core,double_event_cd38_pos_fraction,128,-0.1544454491961837,0.0880256301773543,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1762864797016572,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,cd3_cd14_double_fraction,129,-0.2973838059373608,0.0009732552979227,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0065566672702161,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,cd3_cd14_abundance_normalized,129,-0.0927988343751904,0.303390935903101,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.4198274572496966,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,cd3_cd14_hmean_enrichment_exclusive,129,-0.2748730476956407,0.0022999489649414,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0127997159788043,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,double_event_hla_dr_pos_fraction,128,-0.0298517058906988,0.741609372596409,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.8044576245113589,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,double_event_cd33_pos_fraction,128,0.0564843305861998,0.5326999442192311,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.6432603100005809,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,double_event_cd11c_pos_fraction,128,0.062269130302376,0.4915881680576369,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.5992693858226431,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,double_event_cd16_pos_fraction,128,-0.1341139436259221,0.1385168135864771,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.2497204526629447,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,myeloid_inflammatory,double_event_cd38_pos_fraction,128,0.0868149284172866,0.3376080032576371,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.46217994028853,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,cd3_cd14_double_fraction,129,-0.2962450295977299,0.001017956467276,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0066819706569916,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,cd3_cd14_abundance_normalized,129,0.3450877709952494,0.0001296047164728,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0010368377317829,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,cd3_cd14_hmean_enrichment_exclusive,129,0.0202205973340749,0.8225571207702003,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.8525288377213411,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,double_event_hla_dr_pos_fraction,128,0.1111943859697091,0.2193786031055492,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.3323131502663941,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,double_event_cd33_pos_fraction,128,0.1614559844034303,0.0745310329989405,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1576854913035435,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,double_event_cd11c_pos_fraction,128,0.1167176391211161,0.1973325755404631,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.3080313374290157,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,double_event_cd16_pos_fraction,128,0.1377613261778865,0.1281034252645721,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.2344670568388725,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,immunometabolic_stress,double_event_cd38_pos_fraction,128,0.2136455894332675,0.0182851514077991,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0607921916934622,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,cd3_cd14_double_fraction,129,0.2995359735705622,0.0008937000146644,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0061834379392999,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,adaptive_t_cell_context,cd3_cd14_abundance_normalized,129,-0.2861700090205429,0.0015046824653204,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0091713978838577,supporting_if_replicated
