analysis_scope,resampling_unit,n_rows_before_averaging,n_participants_after_averaging,rna_metric,flow_metric,spearman_rho,nominal_permutation_p_two_sided,bootstrap_rho_q025,bootstrap_rho_q975,random_seed,n_permutations,n_bootstrap,claim_boundary
Sepsis-only participant-level average,COMBAT_ID participant,40,34,hla_dr_core,cd3_cd14_abundance_normalized,-0.6739495798319328,9.999000099990002e-05,-0.8133919607193588,-0.42798764845931386,20260613,10000,5000,participant-level averaged sensitivity; direction and uncertainty only
Sepsis-only participant-level average,COMBAT_ID participant,40,34,mhcii_cd74_axis,cd3_cd14_abundance_normalized,-0.6424751718869366,0.00019998000199980003,-0.8250503610125152,-0.3758940905602457,20260613,10000,5000,participant-level averaged sensitivity; direction and uncertainty only
Sepsis-only participant-level average,COMBAT_ID participant,40,34,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,0.59938884644767,0.0004999500049995,0.3284264300804492,0.7853767367713451,20260613,10000,5000,participant-level averaged sensitivity; direction and uncertainty only
