analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
non_hv_unadjusted,spearman_rank,hla_dr_core,double_event_cd16_pos_fraction,120,0.0645817620343662,0.4811190533670564,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.5893132902486433,exploratory
non_hv_unadjusted,spearman_rank,hla_dr_core,double_event_cd38_pos_fraction,120,-0.1655493109506028,0.070929309669238,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.1513158606277078,exploratory
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,cd3_cd14_double_fraction,121,-0.4364991193605201,1.738982915054319e-06,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,2.2258981312695283e-05,supporting_if_replicated
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,cd3_cd14_abundance_normalized,121,0.1096328410784446,0.2297637689402683,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.3459972049924041,exploratory
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,cd3_cd14_hmean_enrichment_exclusive,121,-0.2833152689337487,0.0019120534463298,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.011058954092539,supporting_if_replicated
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,double_event_hla_dr_pos_fraction,120,0.0208036603724012,0.820469509919927,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.8525288377213411,exploratory
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd33_pos_fraction,120,0.1034269413289029,0.2592123570024503,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.3770361556399277,exploratory
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd11c_pos_fraction,120,0.0605584921147221,0.5088591465365153,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.6173836090679996,exploratory
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd16_pos_fraction,120,-0.1294443916272634,0.1579288790750594,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.2721493911334472,exploratory
non_hv_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd38_pos_fraction,120,0.1140727856790375,0.2133570992404045,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.3251155797949021,exploratory
non_hv_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_double_fraction,121,-0.5001693537461047,4.275412165075009e-08,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,9.950050129629113e-07,supporting_if_replicated
non_hv_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_abundance_normalized,121,0.5167727950142256,1.5052646269192817e-08,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,6.25852353737462e-07,supporting_if_replicated
non_hv_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_hmean_enrichment_exclusive,121,-0.0427923045657769,0.63923675506049,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.7209013625351782,exploratory
non_hv_unadjusted,spearman_rank,immunometabolic_stress,double_event_hla_dr_pos_fraction,120,0.1251665435255013,0.1721255451906968,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.2806633093555311,exploratory
non_hv_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd33_pos_fraction,120,0.2092061581858564,0.0224793201561569,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.0674477379903325,supporting_if_replicated
non_hv_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd11c_pos_fraction,120,0.0962482347890149,0.2937437293345647,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.4086869277698292,exploratory
non_hv_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd16_pos_fraction,120,0.0359439369208611,0.6949828053887566,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.770197394716544,exploratory
non_hv_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd38_pos_fraction,120,0.2121709362471529,0.0206396722666226,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.0652315567932766,supporting_if_replicated
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_double_fraction,121,0.514489906516732,1.740912955718904e-08,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,6.25852353737462e-07,supporting_if_replicated
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_abundance_normalized,121,-0.4865465384094294,9.82937615972195e-08,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,1.7973716406348709e-06,supporting_if_replicated
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_hmean_enrichment_exclusive,121,0.0844262295081967,0.3550475761110689,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.4805967737574797,exploratory
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_hla_dr_pos_fraction,120,-0.1315465183393898,0.1512862147209414,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.2670984204728345,exploratory
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd33_pos_fraction,120,-0.2105478264500036,0.0216298605363472,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.0667137867145168,supporting_if_replicated
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd11c_pos_fraction,120,-0.123360020544523,0.1783996249643302,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.2890525569042313,exploratory
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd16_pos_fraction,120,-0.0432678251559723,0.6369294663633596,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.7209013625351782,exploratory
non_hv_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd38_pos_fraction,120,-0.192713136132697,0.0355311961212476,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.0900592693766276,supporting_if_replicated
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_double_fraction,121,-0.4427042406178024,1.2372193003180936e-06,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,1.759600782674622e-05,supporting_if_replicated
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,121,0.5211285733640427,1.1385739711948986e-08,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,5.829498732517881e-07,supporting_if_replicated
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_hmean_enrichment_exclusive,121,0.0060086709118005,0.9475197859814956,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.9475197859814956,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_hla_dr_pos_fraction,120,0.1297365964063717,0.156992518388533,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.2721493911334472,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd33_pos_fraction,120,0.2462048386026144,0.0072361213591455,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.0324990713673905,supporting_if_replicated
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd11c_pos_fraction,120,0.0661468967442028,0.4705543049869071,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.5791437599838857,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd16_pos_fraction,120,-0.025630053537338,0.7797914083073222,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.8249033079614648,exploratory
non_hv_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd38_pos_fraction,120,0.2128932675739077,0.0202118717798817,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,0.0646779896956216,supporting_if_replicated
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_double_fraction,121,-0.4958135753962876,5.592442969092258e-08,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,1.1930545000730148e-06,supporting_if_replicated
non_hv_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_abundance_normalized,121,0.4366955697060018,1.7204585064210473e-06,COVID_CRIT;COVID_MILD;COVID_SEV;Sepsis,2.2258981312695283e-05,supporting_if_replicated
