RNASeq_sample_ID,six_gene_panel,mhcii_cd74_axis,hla_dr_core,myeloid_inflammatory,immunometabolic_stress,adaptive_t_cell_context,base_participant_timepoint_id,rna_decoupling_index_six_minus_mhcii,rna_decoupling_index_myeloid_minus_mhcii
S00016-Ja001T-TRGa,-0.4232719555078182,0.22924175207542377,0.1313193132922936,-0.3222990031521895,-0.54346528549725,0.8663945017233267,S00016-Ja001,-0.652513707583242,-0.5515407552276133
S00020-Ja003T-TRGa,-0.06420064808277652,-0.12139141301992774,-0.16931250189116157,-0.5752066210351802,-0.5294910870517378,0.5662190368958364,S00020-Ja003,0.05719076493715122,-0.45381520801525244
S00024-Ja003T-TRGa,0.24650746884118546,0.11564957428997898,0.3482749560429457,0.22091776174830485,0.44011161916384417,-0.1884543870068876,S00024-Ja003,0.1308578945512065,0.10526818745832588
S00027-Ja003T-TRGa,0.2614196551032241,-0.7147645015084128,-0.6337555690988114,0.23306168392783475,0.6262126725847816,-0.7387949880561693,S00027-Ja003,0.9761841566116369,0.9478261854362475
S00028-Ja001T-TRGa,0.06264200336942355,0.9431013650674737,1.2408767962740537,0.5789827569535432,0.09574024736733909,0.4886216450034677,S00028-Ja001,-0.8804593616980501,-0.3641186081139305
S00030-Ja003T-TRGa,0.8162116288419733,-0.7988321196922464,-0.8741645089766821,0.44637349978287355,0.7414140806855621,-0.5654806997138617,S00030-Ja003,1.6150437485342197,1.24520561947512
S00033-Ja001T-TRGa,-0.15336122455002868,-0.5514092759061798,-0.5464473254071939,0.42426621066150627,-0.156165380553197,-0.2124238901714852,S00033-Ja001,0.3980480513561512,0.9756754865676861
S00033-Ja003T-TRGa,0.21848064141226095,-0.8725202283641018,-0.8253134871502547,0.6654412771340465,0.20903520438988318,-0.3678968074616069,S00033-Ja003,1.0910008697763627,1.5379615054981484
S00034-Ja005T-TRGa,-0.12331887453289381,-0.215081662934276,0.07449285784226768,0.4314992340290914,-0.08508092468491832,-0.08630876279188085,S00034-Ja005,0.09176278840138219,0.6465808969633674
S00033-Ja005T-TRGa,0.1309005113283825,-0.36065084296926925,-0.4159758166289358,0.3594620711112891,-0.20961061519123428,-0.05330127656329361,S00033-Ja005,0.49155135429765173,0.7201129140805583
S00037-Ja003T-TRGa,-0.491178545839522,0.19604463896953764,-0.13687661514217533,-0.08984428453262391,-0.500798371895985,0.7591847201382897,S00037-Ja003,-0.6872231848090596,-0.28588892350216155
S00039-Ja001T-TRGa,0.0011802767064739011,-0.6034776276461732,-0.47465513599693154,0.2547304751766602,-0.034705380562806205,-0.3650513138471096,S00039-Ja001,0.6046579043526471,0.8582081028228334
S00040-Ja005T-TRGa,0.4216365182748906,-0.04850567573557299,-0.23377965160668546,0.15638076774720536,0.7292394993932519,0.2134277007262445,S00040-Ja005,0.47014219401046364,0.20488644348277835
S00041-Ja001T-TRGa,-0.3295098846383037,1.259440590391095,1.1329474789484948,0.35803055320235444,-0.22519351483563885,0.22074286735498744,S00041-Ja001,-1.5889504750293988,-0.9014100371887406
S00042-Ja001T-TRGa,0.2679704416673156,-0.40002170351325755,-0.5964143380600755,0.523965545332516,0.42026089523164817,-0.09038250125116862,S00042-Ja001,0.6679921451805731,0.9239872488457737
S00042-Ja003T-TRGa,-0.6290293872525526,0.871458687198355,0.8519853366616865,-0.5660717337249624,-0.5600497564203469,0.6062340026055669,S00042-Ja003,-1.5004880744509075,-1.4375304209233173
S00043-Ja005T-TRGa,0.29974542005218024,-0.7870962219553662,-0.7536783542062718,0.29605922338983376,0.23176853070408626,-0.25948940093297035,S00043-Ja005,1.0868416420075464,1.0831554453452
S00045-Ja001T-TRGa,0.0788809924615798,0.26805610915743766,0.23258797213725776,-0.016011652622375125,-0.042659723821147896,0.7089397275699281,S00045-Ja001,-0.18917511669585785,-0.2840677617798128
S00045-Ja003T-TRGa,0.17425826643228523,0.10706146199462627,0.08762624337731095,0.36288898998669844,0.31891924742147804,0.4320391417217288,S00045-Ja003,0.06719680443765896,0.2558275279920722
S00045-Ja005T-TRGa,-0.268660258827122,0.13942696923564737,0.09434991042447928,0.04292487377864118,-0.009342924708768312,0.550487957298696,S00045-Ja005,-0.4080872280627694,-0.09650209545700619
S00048-Ja003T-TRGa,-0.44111008006433045,0.38928318006178697,0.46665623555421387,-0.037260217100656155,-0.3664478013006474,0.37685879020425744,S00048-Ja003,-0.8303932601261175,-0.4265433971624431
S00048-Ja005T-TRGa,-0.34902034580842684,0.8796510848760466,0.969862464272088,0.1945342690371488,-0.22908147651559166,0.21788721186129908,S00048-Ja005,-1.2286714306844735,-0.6851168158388978
S00049-Ja003T-TRGa,-0.4364569432903686,0.30609170955487447,0.45257331918407734,-0.24349538717467997,-0.0839882834814845,0.9672839248714133,S00049-Ja003,-0.7425486528452431,-0.5495870967295544
S00050-Ja001T-TRGa,0.5130101028981643,-0.4619664691206324,-0.016094615536516272,0.8793664798608128,0.5570154512188626,0.12479168265250956,S00050-Ja001,0.9749765720187966,1.3413329489814452
H00067-Ha001T-TRGa,-0.8790769606285321,1.1264435779163564,0.6594170365682804,-0.9835939777898813,-1.1096915118315627,0.8853925926923026,H00067-Ha001,-2.0055205385448884,-2.1100375557062376
H00054-Ha001T-TRGa,-0.9873151106473982,1.0656560820162277,1.0365721355438786,-0.8296302941533678,-0.9972614409166238,1.1396744199757751,H00054-Ha001,-2.052971192663626,-1.8952863761695955
H00085-Ha001T-TRGa,-1.2155690904805478,1.0080596735664693,0.9767029628573044,-1.0694629035838383,-1.063047148122544,1.305232824705114,H00085-Ha001,-2.2236287640470174,-2.0775225771503076
H00049-Ha001T-TRGa,-0.9002429970264657,0.9919064981965321,0.9296890064808077,-0.102810502482068,-0.49920957559505474,0.7707735326103888,H00049-Ha001,-1.8921494952229978,-1.0947170006786
H00058-Ha001T-TRGa,-1.100985720943462,1.1776500171604918,1.0791802661878889,-0.9611196876137503,-1.0240661906768278,1.1256818141695415,H00058-Ha001,-2.2786357381039535,-2.138769704774242
