accession,signature,n_case,n_control,case_median,control_median,median_diff_case_minus_control,p_value,direction,FDR,effect,signature_label,x,y,cohort_label,fdr_sig
GSE69063,immunometabolic_stress,19,25,0.567602176539605,-0.56554832355441,1.13315050009402,6.085408213379e-4,UP_IN_CASE,0.0018256224640137,1.13315050009402,Immunometabolic,5,5,GSE69063,TRUE
GSE28750,immunometabolic_stress,10,11,0.567125888040455,-0.290284462116452,0.857410350156908,0.11446602932671,UP_IN_CASE,0.228932058653421,0.857410350156908,Immunometabolic,6,5,GSE28750,FALSE
GSE134347,myeloid_inflammatory,156,59,0.192295790035399,-0.337301891757936,0.529597681793335,7.818440931798031e-9,UP_IN_CASE,4.69106455907882e-8,0.529597681793335,Myeloid inflammation,1,6,GSE134347,TRUE
GSE154918,myeloid_inflammatory,39,12,0.114553469182705,-0.0894921264149182,0.204045595597623,0.238285218827948,UP_IN_CASE,0.285942262593537,0.204045595597623,Myeloid inflammation,2,6,GSE154918,FALSE
GSE65682,myeloid_inflammatory,192,33,0.0498487545008343,-0.306732364808711,0.356581119309546,5.561786270242e-4,UP_IN_CASE,0.0011123572540484,0.356581119309546,Myeloid inflammation,3,6,GSE65682,TRUE
GSE32707,myeloid_inflammatory,48,21,0.0990634286045803,-0.015320295488774,0.114383724093354,0.741451136584663,UP_IN_CASE,0.741451136584663,0.114383724093354,Myeloid inflammation,4,6,GSE32707,FALSE
GSE69063,myeloid_inflammatory,19,25,0.411784511013615,-0.27818469762305,0.689969208636666,4.17665411605234e-5,UP_IN_CASE,1.252996234815e-4,0.689969208636666,Myeloid inflammation,5,6,GSE69063,TRUE
GSE28750,myeloid_inflammatory,10,11,0.229675936187809,-0.131482593006883,0.361158529194692,0.0986175846856962,UP_IN_CASE,0.147926377028544,0.361158529194692,Myeloid inflammation,6,6,GSE28750,FALSE
GSE134347,six_gene_panel,156,59,0.299740258646815,-0.577854470297642,0.877594728944457,4.09209074481202e-9,UP_IN_CASE,2.45525444688721e-8,0.877594728944457,Six-gene panel,1,7,GSE134347,TRUE
GSE154918,six_gene_panel,39,12,0.29506917741874,-0.373533954650566,0.668603132069306,0.0326701414392916,UP_IN_CASE,0.0392041697271499,0.668603132069306,Six-gene panel,2,7,GSE154918,TRUE
GSE65682,six_gene_panel,192,33,0.184362705481973,-0.372916272413405,0.557278977895378,5.743514690704e-4,UP_IN_CASE,0.0011487029381408,0.557278977895378,Six-gene panel,3,7,GSE65682,TRUE
GSE32707,six_gene_panel,48,21,-0.0952732759421031,-0.204038796778376,0.108765520836273,0.932994998063318,UP_IN_CASE,0.932994998063318,0.108765520836273,Six-gene panel,4,7,GSE32707,FALSE
GSE69063,six_gene_panel,19,25,0.764565187817746,-0.575413572373879,1.33997876019162,6.97050011943916e-7,UP_IN_CASE,2.09115003583175e-6,1.33997876019162,Six-gene panel,5,7,GSE69063,TRUE
GSE28750,six_gene_panel,10,11,0.626866751520961,-0.0663270778706035,0.693193829391564,0.0047857199559985,UP_IN_CASE,0.0071785799339978,0.693193829391564,Six-gene panel,6,7,GSE28750,TRUE
