bytes,desktop_source,embedded_raster_count,figure,frontiers_min_dpi_pass,height_mm,height_pt,image_elements,outlined_svg_text_elements,outlined_text_to_path_pass,pdf_font_rows,pdf_page_size,preview_nonblank,sha256,text_elements,tiff_dpi_x,tiff_dpi_y,tiff_height_px,tiff_mode,tiff_width_px,title,tspan_elements,viewBox,width_mm,width_pt
29992,<AUTHORITATIVE_FI_FIGURE_SOURCE_DIR>/Figure1_study_architecture_claim_boundary.live-text.svg,0,Figure_01,True,155.01055555555556,439.4,0,0,True,0,510.2 x 439.4 pts,True,c59c48584fbb51534a05c5f9ef01e6c2a53590a40b0b27bccff6619c3fd0ef8f,80,600.0,600.0,3662,RGB,4252,Study architecture and claim-boundary map,49,0 0 510.2 439.4,179.98722222222221,510.2
80639,<AUTHORITATIVE_FI_FIGURE_SOURCE_DIR>/Figure2_cross_cohort_decoupling_final.live-text.svg,0,Figure_02,True,144.99166666666665,411.0,0,0,True,0,510.2 x 411 pts,True,4b549dc46504a9812bb10847b6452a315f08c48a813d535012664f91921f5906,109,600.0,600.0,3425,RGB,4252,Cross-cohort inflammatory/MHC-II decoupling,40,0 0 510.2 411,179.98722222222221,510.2
237946,<AUTHORITATIVE_FI_FIGURE_SOURCE_DIR>/Figure3_final_submit_typography_final.live-text.svg,0,Figure_03,True,179.98722222222221,510.2,0,0,True,0,510.2 x 510.2 pts,True,dad5620455de3b3f5859111e5d67498c2e1864ea2158ef140df2b088a27a8eb1,89,600.0,600.0,4252,RGB,4252,Continuous spectrum pathway context,45,0 0 510.2 510.2,179.98722222222221,510.2
682460,<AUTHORITATIVE_FI_FIGURE_SOURCE_DIR>/Figure4_raw_fcs_pair_specificity_hardening_readable.live-text.svg,0,Figure_04,True,170.0036111111111,481.9,0,0,True,0,510.2 x 481.9 pts,True,8cfad0506338281774284b7841ff89480edbce7ac60715ffd3d0816022e5ac43,0,600.0,600.0,4016,RGB,4252,Raw-FCS pair-specificity hardening,0,0 0 510.2 481.9,179.98722222222221,510.2
186740,<AUTHORITATIVE_FI_FIGURE_SOURCE_DIR>/Figure5_COMBAT_RNA_CyTOF_bridge_portrait.svg,0,Figure_05,True,234.95,666.0,0,0,True,0,518.4 x 666 pts,True,5738e79a2d2a0971d447a137c1208eb4f75761499cae1f06263f4f62d5c0efba,99,600.0,600.0,5550,RGB,4320,COMBAT RNA-CyTOF bridge,296,0 0 518.4 666,182.87999999999997,518.4
201812,<AUTHORITATIVE_FI_FIGURE_SOURCE_DIR>/Figure6_working_interpretation_v2_palette_matched.svg,0,Figure_06,True,140.01749999999998,396.9,0,0,True,0,510.2 x 396.9 pts,True,d938d89e6340e14e30f38f10ab7000144c009396e5849ef3266a387315484c53,46,600.0,600.0,3307,RGB,4252,Working interpretation and claim boundary,0,0 0 510.2 396.9,179.98722222222221,510.2
