panel,step_order,step,n,unit,source
A,1,COMBAT public whole-blood RNA logCPM matrix,143,RNA samples,CBD-KEY-RNASEQ-WB Logcpm_143_23063.txt
A,2,COMBAT genes in logCPM matrix,23063,genes,public COMBAT RNA archive
A,3,Strict event-QC CyTOF samples with IDs,183,CyTOF rows,read-only FREE REACH strict event-QC output
A,4,Matched biological RNA-CyTOF rows,129,participant-timepoint rows,shared base participant-timepoint ID
A,5,Sepsis-only matched rows,40,participant-timepoint rows,analysis_group == Sepsis
A,6,Sepsis participants,34,participants,COMBAT_ID
